lr-Adam,step,training_loss,epoch,val_loss,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
,1767,,8,-0.09271042048931122,0.23923851549625397,,,,,,,,,
0.001,1779,,,,,,,,,,,,,
,1779,104.21342468261719,8,,,,,,,,,,,
0.001,1799,,,,,,,,,,,,,
,1799,-52.776100158691406,8,,,,,,,,,,,
0.001,1819,,,,,,,,,,,,,
,1819,-169.8625030517578,8,,,,,,,,,,,
0.001,1839,,,,,,,,,,,,,
,1839,-149.59109497070312,8,,,,,,,,,,,
0.001,1859,,,,,,,,,,,,,
,1859,-124.9941635131836,8,,,,,,,,,,,
,1871,,8,-0.0918399840593338,0.23934972286224365,,,,,,,,,
0.001,1879,,,,,,,,,,,,,
,1879,122.68907165527344,9,,,,,,,,,,,
0.001,1899,,,,,,,,,,,,,
,1899,-191.52859497070312,9,,,,,,,,,,,
0.001,1919,,,,,,,,,,,,,
,1919,-139.1641845703125,9,,,,,,,,,,,
0.001,1939,,,,,,,,,,,,,
,1939,-219.16339111328125,9,,,,,,,,,,,
0.001,1959,,,,,,,,,,,,,
,1959,-61.23534393310547,9,,,,,,,,,,,
,1975,,9,-0.09312161058187485,0.23912222683429718,,,,,,,,,
0.001,1979,,,,,,,,,,,,,
,1979,67.64615631103516,9,,,,,,,,,,,
0.001,1999,,,,,,,,,,,,,
,1999,-87.49604034423828,9,,,,,,,,,,,
0.001,2019,,,,,,,,,,,,,
,2019,-162.04144287109375,9,,,,,,,,,,,
0.001,2039,,,,,,,,,,,,,
,2039,-0.38442325592041016,9,,,,,,,,,,,
0.001,2059,,,,,,,,,,,,,
,2059,-21.115966796875,9,,,,,,,,,,,
0.001,2079,,,,,,,,,,,,,
,2079,-44.76578903198242,9,,,,,,,,,,,
,2079,,9,-0.09276916086673737,0.23909251391887665,,,,,,,,,
0.001,2099,,,,,,,,,,,,,
,2099,-86.10275268554688,10,,,,,,,,,,,
0.001,2119,,,,,,,,,,,,,
,2119,-165.47894287109375,10,,,,,,,,,,,
0.001,2139,,,,,,,,,,,,,
,2139,40.20038986206055,10,,,,,,,,,,,
0.001,2159,,,,,,,,,,,,,
,2159,167.64614868164062,10,,,,,,,,,,,
0.001,2179,,,,,,,,,,,,,
,2179,-170.5760955810547,10,,,,,,,,,,,
,2183,,10,-0.09439873695373535,0.2389143407344818,,,,,,,,,
0.001,2199,,,,,,,,,,,,,
,2199,-65.89569854736328,10,,,,,,,,,,,
0.001,2219,,,,,,,,,,,,,
,2219,-269.70098876953125,10,,,,,,,,,,,
0.001,2239,,,,,,,,,,,,,
,2239,26.032943725585938,10,,,,,,,,,,,
0.001,2259,,,,,,,,,,,,,
,2259,-63.623046875,10,,,,,,,,,,,
0.001,2279,,,,,,,,,,,,,
,2279,-150.25466918945312,10,,,,,,,,,,,
,2287,,10,-0.09349378198385239,0.23900684714317322,,,,,,,,,
0.001,2299,,,,,,,,,,,,,
,2299,-53.87493133544922,11,,,,,,,,,,,
0.001,2319,,,,,,,,,,,,,
,2319,-159.03463745117188,11,,,,,,,,,,,
0.001,2339,,,,,,,,,,,,,
,2339,27.03192138671875,11,,,,,,,,,,,
0.001,2359,,,,,,,,,,,,,
,2359,6.817852020263672,11,,,,,,,,,,,
0.001,2379,,,,,,,,,,,,,
,2379,-154.49636840820312,11,,,,,,,,,,,
,2391,,11,-0.09524523466825485,0.23882246017456055,,,,,,,,,
0.001,2399,,,,,,,,,,,,,
,2399,-16.183380126953125,11,,,,,,,,,,,
0.001,2419,,,,,,,,,,,,,
,2419,0.9455947875976562,11,,,,,,,,,,,
0.001,2439,,,,,,,,,,,,,
,2439,-166.1689910888672,11,,,,,,,,,,,
0.001,2459,,,,,,,,,,,,,
,2459,-143.4615020751953,11,,,,,,,,,,,
0.001,2479,,,,,,,,,,,,,
,2479,-135.78285217285156,11,,,,,,,,,,,
,2495,,11,-0.09364882856607437,0.2390737384557724,,,,,,,,,
0.001,2499,,,,,,,,,,,,,
,2499,-139.29290771484375,12,,,,,,,,,,,
0.001,2519,,,,,,,,,,,,,
,2519,-201.79449462890625,12,,,,,,,,,,,
0.001,2539,,,,,,,,,,,,,
,2539,-182.98997497558594,12,,,,,,,,,,,
0.001,2559,,,,,,,,,,,,,
,2559,-59.563873291015625,12,,,,,,,,,,,
0.001,2579,,,,,,,,,,,,,
,2579,-72.33047485351562,12,,,,,,,,,,,
0.001,2599,,,,,,,,,,,,,
,2599,-31.657150268554688,12,,,,,,,,,,,
,2599,,12,-0.09511217474937439,0.2387472540140152,,,,,,,,,
0.001,2619,,,,,,,,,,,,,
,2619,51.469573974609375,12,,,,,,,,,,,
0.001,2639,,,,,,,,,,,,,
,2639,-83.87608337402344,12,,,,,,,,,,,
0.001,2659,,,,,,,,,,,,,
