lr-Adam,step,training_loss,pred_loss,update_loss,epoch,val_loss,val_loss_pred,val_loss_update,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
,1419,-282.1066589355469,-281.14434814453125,-962.3029174804688,6,,,,,,,,,,,,,
0.001,1439,,,,,,,,,,,,,,,,,
,1439,-191.35813903808594,-190.56024169921875,-797.8976440429688,6,,,,,,,,,,,,,
,1455,,,,6,-6141.3984375,-6117.77880859375,-23619.435546875,37.90312194824219,,,,,,,,,
0.001,1459,,,,,,,,,,,,,,,,,
,1459,-244.83238220214844,-244.04977416992188,-782.609619140625,7,,,,,,,,,,,,,
0.001,1479,,,,,,,,,,,,,,,,,
,1479,-276.2972717285156,-275.506591796875,-790.6888427734375,7,,,,,,,,,,,,,
0.001,1499,,,,,,,,,,,,,,,,,
,1499,-318.5597229003906,-317.67437744140625,-885.3553466796875,7,,,,,,,,,,,,,
0.001,1519,,,,,,,,,,,,,,,,,
,1519,-147.45420837402344,-146.76513671875,-689.078857421875,7,,,,,,,,,,,,,
0.001,1539,,,,,,,,,,,,,,,,,
,1539,-173.53675842285156,-172.55166625976562,-985.097412109375,7,,,,,,,,,,,,,
0.001,1559,,,,,,,,,,,,,,,,,
,1559,-110.4261474609375,-109.73538208007812,-690.7691650390625,7,,,,,,,,,,,,,
,1559,,,,7,-6129.7392578125,-6106.41357421875,-23325.318359375,38.01948547363281,,,,,,,,,
0.001,1579,,,,,,,,,,,,,,,,,
,1579,-42.370513916015625,-41.76470184326172,-605.8134765625,7,,,,,,,,,,,,,
0.001,1599,,,,,,,,,,,,,,,,,
,1599,-179.62939453125,-178.82699584960938,-802.4060668945312,7,,,,,,,,,,,,,
0.001,1619,,,,,,,,,,,,,,,,,
,1619,-275.293212890625,-274.26141357421875,-1031.7987060546875,7,,,,,,,,,,,,,
0.001,1639,,,,,,,,,,,,,,,,,
,1639,-168.58885192871094,-167.9213104248047,-667.5399169921875,7,,,,,,,,,,,,,
0.001,1659,,,,,,,,,,,,,,,,,
,1659,-222.47528076171875,-221.5604705810547,-914.8048706054688,7,,,,,,,,,,,,,
,1663,,,,7,-6208.89208984375,-6185.06005859375,-23831.998046875,37.86909103393555,,,,,,,,,
0.001,1679,,,,,,,,,,,,,,,,,
,1679,-6.380858421325684,-5.723623275756836,-657.2350463867188,8,,,,,,,,,,,,,
0.001,1699,,,,,,,,,,,,,,,,,
,1699,-200.970947265625,-200.1212921142578,-849.6524658203125,8,,,,,,,,,,,,,
0.001,1719,,,,,,,,,,,,,,,,,
,1719,-80.14593505859375,-79.51325988769531,-632.6788940429688,8,,,,,,,,,,,,,
0.001,1739,,,,,,,,,,,,,,,,,
,1739,-214.04263305664062,-213.08230590820312,-960.3343505859375,8,,,,,,,,,,,,,
0.001,1759,,,,,,,,,,,,,,,,,
,1759,-94.06637573242188,-93.2823257446289,-784.0474853515625,8,,,,,,,,,,,,,
,1767,,,,8,-6151.615234375,-6128.21435546875,-23400.931640625,38.02252197265625,,,,,,,,,
0.001,1779,,,,,,,,,,,,,,,,,
,1779,-12.923404693603516,-12.163572311401367,-759.83251953125,8,,,,,,,,,,,,,
0.001,1799,,,,,,,,,,,,,,,,,
,1799,-135.94497680664062,-135.30950927734375,-635.4719848632812,8,,,,,,,,,,,,,
0.001,1819,,,,,,,,,,,,,,,,,
,1819,-203.63882446289062,-202.65087890625,-987.9459838867188,8,,,,,,,,,,,,,
0.001,1839,,,,,,,,,,,,,,,,,
,1839,-261.4503173828125,-260.4847717285156,-965.5569458007812,8,,,,,,,,,,,,,
0.001,1859,,,,,,,,,,,,,,,,,
,1859,-213.63394165039062,-212.87197875976562,-761.9569091796875,8,,,,,,,,,,,,,
,1871,,,,8,-6207.51904296875,-6184.03662109375,-23482.353515625,37.851524353027344,,,,,,,,,
0.001,1879,,,,,,,,,,,,,,,,,
,1879,-7.010627269744873,-6.262908935546875,-747.7184448242188,9,,,,,,,,,,,,,
0.001,1899,,,,,,,,,,,,,,,,,
,1899,-286.57489013671875,-285.6800231933594,-894.8802490234375,9,,,,,,,,,,,,,
0.001,1919,,,,,,,,,,,,,,,,,
,1919,-232.99034118652344,-232.17555236816406,-814.7945556640625,9,,,,,,,,,,,,,
0.001,1939,,,,,,,,,,,,,,,,,
,1939,-306.1489562988281,-305.10809326171875,-1040.852783203125,9,,,,,,,,,,,,,
0.001,1959,,,,,,,,,,,,,,,,,
,1959,-193.16140747070312,-192.25830078125,-903.103759765625,9,,,,,,,,,,,,,
,1975,,,,9,-6155.6416015625,-6132.45556640625,-23185.884765625,38.06254577636719,,,,,,,,,
0.001,1979,,,,,,,,,,,,,,,,,
